NSC,SMILES
1,"CC1=CC(=O)C=CC1=O"
2,"S(Sc1nc2ccccc2s1)c3nc4ccccc4s3"
3,"Oc1c(Cl)cc(cc1[N+](=O)[O-])[N+](=O)[O-]"
4,"Nc1ncc(s1)[N+](=O)[O-]"
5,"Nc1ccc2C(=O)c3ccccc3C(=O)c2c1"
6,"OC(=O)c1ccccc1C2=C3C=CC(=O)C(=C3Oc4c(Br)c(O)ccc24)Br"
7,"CN(C)C1=C(Cl)C(=O)c2ccccc2C1=O"
8,"Cc1ccc2C(=O)c3ccccc3C(=O)c2c1[N+](=O)[O-]"
9,"C\C(=N\O)\C(=N/O)\C"
10,"c1ccc(cc1)P(c2ccccc2)c3ccccc3"
11,"CC(C)(C)c1cc(O)c(cc1O)C(C)(C)C"
12,"CC1=NN(C(=O)C1)c2ccccc2"
13,"Nc1ccnc2cc(Cl)ccc12"
14,"CCCCCCC1CCCCN1"
15,"O=Cc1c2ccccc2cc3ccccc13"
16,"BrN1C(=O)CCC1=O"
17,"CCCCCCCCCCCCCCCc1cc(O)ccc1N"
18,"C(COc1ccccc1c2ccccc2)Oc3ccccc3c4ccccc4"
19,"CCCCSCC"
20,"CC(=O)Nc1ccc2c(O)ccnc2n1"
21,"CC1=CC(=O)N=C2NC(=CC=C12)N"
22,"CCOC(=O)c1cnc2nc(N)ccc2c1O"
23,"Cc1ccnc(c1)\N=C\c2ccccc2"
24,"C[N+](C)(C)Cc1ccccc1"
25,"C[N+](C)(C)C(=O)c1ccccc1"
26,"ICCC(c1ccccc1)(c2ccccc2)c3ccccc3"
27,"Cc1cc(C)c(C[N+](C)(C)C)c(C)c1"
28,"CC(O)(CC(=O)O)c1ccc(cc1)[N+](=O)[O-]"
29,"Cc1ccc(cc1)C(=O)c2ccc(Cl)cc2"
30,"O\N=C\c1ccc(O)cc1"
31,"Cc1cc(C)c(N)c(C)c1"
32,"Cc1ccc(cc1)C(=O)c2ccc(cc2)[N+](=O)[O-]"
33,"CC(O)(c1ccccc1)c2ccccc2"
34,"O\N=C/c1cccc(c1)[N+](=O)[O-]"
35,"Oc1c(cnc2cc(Cl)ccc12)[N+](=O)[O-]"
36,"Cc1cnc2cccc(C)c2c1Cl"
37,"CCC(CC)(C(OC(=O)N)c1ccccc1)c2ccccc2"
38,"O\N=C(/Cc1ccccc1)\C(C#N)c2ccccc2"
39,"OC(Cc1ccccc1)c2ccccc2"
40,"COc1ccc(Cc2ccc(OC)cc2)cc1"
41,"CN(C)C(c1ccccc1)c2ccccc2C"
42,"COc1cc(c(N)c(c1)[N+](=O)[O-])[N+](=O)[O-]"
43,"NN=C(c1ccccc1)c2ccccc2"
44,"COc1ccc(\C=N\O)cc1"
45,"c1ccc(cc1)C(N=C(c2ccccc2)c3ccccc3)c4ccccc4"
46,"c1ccc(cc1)N=C(c2ccccc2)c3ccccc3"
47,"Cc1nc2ccccc2c(O)c1c3ccccc3"
48,"CCC1=[O][Cu+2]2([O]=C(CC)CC(=[O]2)CC)[O]=C(CC)C1"
49,"OC(=O)C(Cc1ccccc1)c2ccccc2"
50,"CCc1cnc(C)cc1N"
51,"Cc1nc2ccccc2c(Oc3ccccc3)c1c4ccccc4"
52,"N#CC(C(c1ccccc1)c2ccccc2)c3ccccc3"
53,"CC(C#N)N(C)C"
54,"CC(=O)C1Cc2ccccc2C1=O"
55,"O=S(Cc1ccccc1)Cc2ccccc2"
56,"CC(c1ccccc1)C(C)(C#N)c2ccccc2"
57,"CC1=NC(=O)NC2=C1CCCC2"
58,"N(C(c1ccccc1)c2ccccc2)C(c3ccccc3)c4ccccc4"
59,"Oc1nnc(c2ccccc2)c3ccccc13"
60,"CC(C)(C(=O)N)c1ccccc1"
61,"OC(=O)C(c1ccccc1)(c2ccccc2)c3ccccc3"
62,"CCC[N+](CCC)(CCC)Cc1ccccc1"
63,"Cc1cc(C)c(CC(=O)c2ccccc2)c(C)c1"
64,"COC(c1ccccc1)(c2ccccc2)c3ccccc3"
65,"CCC(CC)(CC)C(OC(=O)c1ccccc1C(=O)O)c2ccccc2"
66,"CC(=O)C(Cc1ccccc1)(c2ccccc2)c3ccccc3"
67,"O=S(=O)(Cc1ccccc1)Cc2ccccc2"
68,"CC(C)(C)OC(=O)C(c1ccccc1)c2ccccc2"
69,"N#CC(Cc1ccccc1)(c2ccccc2)c3ccccc3"
70,"C\C(=C/c1ccccc1)\c2ccccc2"
71,"N#CC(Cc1ccccc1)c2ccccc2"
72,"CC(O)(C(C(=O)O)c1ccccc1)c2ccccc2"
73,"C[C@H]([C@@H](C(=O)O)c1ccccc1)c2ccccc2"
74,"O\N=C\c1ccc(Cl)cc1"
75,"COC(c1ccccc1)c2ccccc2"
76,"O=C(NC(c1ccccc1)c2ccccc2)c3ccccc3"
77,"C[N+](C)(Cc1ccccc1)Cc2ccccc2"
78,"C1C(=[O][Cu]2([O]=C(CC(=[O]2)c3ccccc3)\C=C\c4ccccc4)[O]=C1c5ccccc5)\C=C\c6ccccc6"
79,"O\N=C\c1ccc2OCOc2c1"
80,"CCOC(=O)C(NC(=O)c1ccccc1)C(=O)OCC"
81,"Nc1ccc(Cl)nc1"
82,"C1CCN(CC1)C(c2ccccc2)c3ccccc3"
83,"CCOC(=O)c1cnc2c(C)c(Cl)ccc2c1O"
84,"CCN(CC)C(=O)\C=C\c1ccccc1"
85,"C[N+](C)(C)Cc1ccc(cc1)[N+](=O)[O-]"
86,"C[N+](C)(C)Cc1cccc(c1)[N+](=O)[O-]"
87,"O=C(CC(N1CCCCC1)c2ccccc2)c3ccccc3"
88,"COC(N(C)C)(c1ccccc1)c2ccccc2"
89,"CN(C)CCC(=O)c1ccccc1"
90,"CCCCN(CCCC)C(=O)C"
91,"Cc1ccccc1CO"
92,"CCN(CC)CCC(=O)OC"
93,"ClC(Cc1ccccc1)c2ccccc2"
94,"CC(C)CC(=O)CC(=O)C"
95,"CCN(CC)CCC#N"
96,"COc1ccc(CC#N)cc1"
97,"CN(Cc1ccccc1)c2ccccc2"
98,"COc1ccc(cc1)C(C)(C)C#N"
99,"CCC(CC)(C(O)c1ccccc1)c2ccccc2"
100,"C\C(=C\c1ccccc1)\OC(=O)c2ccccc2"
101,"CCN(CC)C(=O)C"
102,"CCCCOC(N1CCCCC1)c2ccccc2"
103,"CCCCCCCCN(CC)CC"
104,"CCOC(C)c1ccccc1"
105,"CCN(CC)C(=O)CC"
106,"CCCCOC(OCCCC)c1ccccc1"
107,"C[Si](C)(C)Cc1ccccc1"
108,"CCN(CC)CCCCCCNc1ccnc2cc(Cl)ccc12"
109,"CC(=O)c1cc(C)c(O)c(C)c1"
110,"CCOC(=O)c1ccc(cc1)S(=O)(=O)N(CC)CC"
111,"CC(=O)c1ccncc1"
112,"Cc1cc(C)c(C[N+](C)(C)C)c(C)c1C"
113,"OCC(F)(F)C(F)F"
114,"OCC(F)(F)C(F)(F)C(F)(F)C(F)F"
115,"OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F"
116,"FC(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CCCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F"
117,"CC(CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F)CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F"
118,"CC(C)(C)O[Si](OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)OC(C)(C)C"
119,"FC(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)c1ccccc1C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F"
120,"CN1c2ccccc2Sc3ccccc13"
121,"CCN1c2ccccc2Sc3ccccc13"
122,"CCN1c2ccccc2S(=O)c3cc(ccc13)[N+](=O)[O-]"
123,"CN1c2ccccc2S(=O)c3ccccc13"
124,"ClCC(=O)c1ccc2Sc3ccccc3Nc2c1"
125,"CC[N+]([O-])(CC)CCCN1c2ccccc2S(=O)c3ccccc13"
126,"COC(=O)c1cccc2Sc3ccccc3Nc12"
127,"CC(=O)N1c2ccccc2Sc3ccc(cc13)C(=O)CCl"
128,"CC(=O)N1c2ccccc2Sc3c1ccc4ccccc34"
129,"c1ccc(cc1)c2nc3cc4ccccc4cc3s2"
130,"O=C1CSc2ccccc2N1"
131,"C1CN(CCO1)[Se][Se]N2CCOCC2"
132,"CCN(CC)N=O"
133,"CCCN(CCC)N=O"
134,"CC(C)CN(CC(C)C)N=O"
135,"CCCCN(CC)N=O"
136,"CCCCC(CC)CN(CC(CC)CCCC)N=O"
137,"CN(N=O)c1ccccc1"
138,"O=NN1CCCCC1"
139,"O=NN1CCOCC1"
140,"CCCCOC(=O)\C=C\C(=O)OCCCC"
141,"OC(=O)CBr"
142,"OC(=O)CCl"
143,"OC(=O)\C=C\C(=O)c1ccccc1"
144,"Nc1ccccc1C(=O)O"
145,"OP(=O)(O)c1ccccc1"
146,"[Na+].OS(=O)(=O)c1ccccc1"
147,"Nc1ccccc1S(=O)(=O)O"
148,"OS(=O)(=O)c1cc(c(Cl)c(c1)[N+](=O)[O-])[N+](=O)[O-]"
149,"OC(=O)c1ccccc1"
150,"OC(=O)c1ccc(cc1Cl)[N+](=O)[O-]"
151,"CCCC\C(=C/c1cc(Cl)c(O)c(Cl)c1)\C(=O)O"
152,"OC(=O)\C(=C\c1cc(I)c(O)c(I)c1)\Cc2ccccc2"
153,"CCCC\C(=C/c1cc(I)c(O)c(I)c1)\C(=O)O"
154,"CCCCCC\C(=C/c1ccc(O)cc1)\C(=O)O"
155,"OC(=O)\C(=C/c1cc(Br)c(O)c(Br)c1)\c2ccc(I)cc2"
156,"OC(=O)\C(=C/c1cc(Cl)c(O)c(Cl)c1)\c2ccc(I)cc2"
157,"OC(=O)\C(=C/c1cc(I)c(O)c(I)c1)\c2ccc(I)cc2"
158,"C\C(=C\c1ccc(O)cc1)\C(=O)O"
159,"OC(=O)\C(=C/c1cc(Br)cc(Br)c1O)\c2ccccc2"
160,"OC(=O)\C(=C/c1cc(Br)c(O)c(Br)c1)\c2ccccc2"
161,"OC(=O)\C(=C/c1cc(Cl)c(O)c(Cl)c1)\c2ccccc2"
162,"OC(=O)\C(=C/c1cccc(O)c1)\c2ccccc2"
163,"Nc1ccc(\C=C\c2ccc(N)cc2S(=O)(=O)O)c(c1)S(=O)(=O)O"
164,"[Na+].OS(=O)(=O)CCS(=O)(=O)O"
165,"OC1OC(C(O)C(O)C1O)C(=O)O"
166,"OCC(=O)O"
167,"CC(C)C(Br)C(=O)O"
168,"Nc1ccc(c2ccccc12)S(=O)(=O)O"
169,"[Na+].CCOC(=O)N(c1ccccc1)c2ccc3c(O)cc(cc3c2)S(=O)(=O)O"
