iter	RMSE
0	12.32731116
1	12.26456359
2	12.22622417
3	12.1952537
4	12.17082765
5	12.13871463
6	12.12451005
7	12.10925009
8	12.09894048
9	12.08406934
10	12.07521156
11	12.06120417
12	12.04956173
13	12.01692235
14	11.99762109
15	11.97731505
16	11.9633068
17	11.95414443
18	11.94066001
19	11.93449993
20	11.92885002
21	11.91523752
22	11.90709736
23	11.89549302
24	11.88532415
25	11.87914699
26	11.85916535
27	11.85397769
28	11.84675264
29	11.83926488
30	11.83121289
31	11.82152909
32	11.81489246
33	11.81149235
34	11.80041661
35	11.79036478
36	11.7835146
37	11.77763446
38	11.77180729
39	11.76362693
40	11.75616249
41	11.74520846
42	11.73816183
43	11.72278308
44	11.71692487
45	11.7141846
46	11.69944962
47	11.69458097
48	11.68501158
49	11.68024281
50	11.67636912
51	11.6589491
52	11.65512073
53	11.64232041
54	11.63500054
55	11.63089599
56	11.62451979
57	11.61984807
58	11.59357743
59	11.58958412
60	11.57625171
61	11.57217423
62	11.56679344
63	11.56065281
64	11.55285812
65	11.54800532
66	11.54260099
67	11.53961099
68	11.53569626
69	11.53063458
70	11.52445832
71	11.52186779
72	11.51929092
73	11.50990639
74	11.50449244
75	11.49499573
76	11.4912136
77	11.48329272
78	11.48087631
79	11.47806722
80	11.47279089
81	11.46888782
82	11.46512267
83	11.4572143
84	11.45489514
85	11.45247123
86	11.44691542
87	11.43946249
88	11.43788114
89	11.43109125
90	11.42411534
91	11.4227863
92	11.42048613
93	11.41728676
94	11.40393015
95	11.40125532
96	11.39995302
97	11.39431125
98	11.39202362
99	11.38913334
100	11.38488565
101	11.37392006
102	11.37158568
103	11.36698089
104	11.3585567
105	11.35290226
106	11.3447651
107	11.33627464
108	11.33193035
109	11.32932549
110	11.32453696
111	11.32293792
112	11.31960938
113	11.31533908
114	11.31110621
115	11.30653244
116	11.30015069
117	11.29522936
118	11.2933368
119	11.29085624
120	11.28626573
121	11.2783587
122	11.27623924
123	11.27408856
124	11.27109661
125	11.26732587
126	11.2653114
127	11.26275084
128	11.25819852
129	11.25493639
130	11.25108087
131	11.24890731
132	11.2460611
133	11.2417893
134	11.23926606
135	11.23738334
136	11.23399807
137	11.21494509
138	11.20975457
139	11.20791903
140	11.20237831
141	11.19845113
142	11.19501338
143	11.19150904
144	11.18814368
145	11.18456829
146	11.17992781
147	11.17653789
148	11.17393929
149	11.16601124
150	11.16279618
151	11.15989536
152	11.15688054
153	11.15465452
154	11.15080804
155	11.14795093
156	11.14569567
157	11.14353134
158	11.14058552
159	11.13923753
160	11.13740753
161	11.13518468
162	11.13060123
163	11.12839566
164	11.12523592
165	11.11897792
166	11.11752583
167	11.11328009
168	11.11064594
169	11.10659269
170	11.10505604
171	11.10333863
172	11.10124688
173	11.0982699
174	11.09185216
175	11.08717384
176	11.08357972
177	11.07983649
178	11.07786397
179	11.07609337
180	11.07274416
181	11.07077086
182	11.06854103
183	11.06610243
184	11.06426453
185	11.06242025
186	11.05740269
187	11.05559532
188	11.05163221
189	11.04413647
190	11.04275402
191	11.03985829
192	11.03737962
193	11.03258677
194	11.03111131
195	11.02925979
196	11.02788495
197	11.02552005
198	11.02358216
199	11.0210823
