iter	Passed	Remaining
0	52	10525
1	58	5782
2	64	4212
3	69	3416
4	74	2924
5	80	2595
6	85	2367
7	90	2174
8	95	2019
9	100	1903
10	105	1813
11	110	1734
12	115	1656
13	120	1599
14	125	1551
15	130	1504
16	135	1462
17	140	1423
18	146	1393
19	151	1360
20	155	1328
21	161	1304
22	165	1275
23	170	1250
24	175	1229
25	180	1207
26	185	1191
27	190	1170
28	195	1152
29	200	1135
30	205	1122
31	211	1109
32	216	1095
33	221	1079
34	227	1071
35	232	1058
36	237	1047
37	242	1033
38	247	1019
39	251	1007
40	256	996
41	261	983
42	266	974
43	272	966
44	277	957
45	282	946
46	287	937
47	292	927
48	297	918
49	303	910
50	308	900
51	313	891
52	318	883
53	323	875
54	328	867
55	334	860
56	340	853
57	345	846
58	350	838
59	355	830
60	360	821
61	365	814
62	371	806
63	376	799
64	381	793
65	387	787
66	392	779
67	398	772
68	403	766
69	408	759
70	413	751
71	418	744
72	424	737
73	429	731
74	435	725
75	441	719
76	446	713
77	452	708
78	458	702
79	464	696
80	470	691
81	476	684
82	481	678
83	486	671
84	491	664
85	496	658
86	502	652
87	507	645
88	512	639
89	519	634
90	524	628
91	529	621
92	535	615
93	541	610
94	547	605
95	552	598
96	557	592
97	564	587
98	570	581
99	575	575
100	581	569
101	586	563
102	592	557
103	598	552
104	604	547
105	610	541
106	617	536
107	623	531
108	629	525
109	635	519
110	641	514
111	646	507
112	652	502
113	658	496
114	664	490
115	669	485
116	675	479
117	681	473
118	687	467
119	693	462
120	699	456
121	706	451
122	711	445
123	717	439
124	723	434
125	728	428
126	734	422
127	741	416
128	747	411
129	752	405
130	758	399
131	764	393
132	769	387
133	775	382
134	781	376
135	787	370
136	792	364
137	799	358
138	804	352
139	809	347
140	816	341
141	822	335
142	827	329
143	834	324
144	840	318
145	846	313
146	852	307
147	859	302
148	865	296
149	871	290
150	876	284
151	882	278
152	888	272
153	894	267
154	900	261
155	905	255
156	911	249
157	916	243
158	922	237
159	927	231
160	932	225
161	938	220
162	944	214
163	950	208
164	956	202
165	962	197
166	968	191
167	973	185
168	978	179
169	984	173
170	989	167
171	994	161
172	1000	156
173	1006	150
174	1011	144
175	1017	138
176	1022	132
177	1027	126
178	1032	121
179	1037	115
180	1042	109
181	1048	103
182	1054	97
183	1059	92
184	1064	86
185	1070	80
186	1076	74
187	1081	69
188	1087	63
189	1092	57
190	1098	51
191	1104	46
192	1110	40
193	1115	34
194	1121	28
195	1126	22
196	1131	17
197	1137	11
198	1142	5
199	1147	0
