Feature,Data Type
CONCINDEX1,int64
CONC1,float64
CONCUNIT1,str
CONCINDEX2,int64
CONC2,float64
CONCUNIT2,str
VALID,str
PANEL,str
CELLNAME,str
MolWt_1,float64
ExactMolWt_1,float64
MolLogP_1,float64
TPSA_1,float64
NumHDonors_1,float64
NumHAcceptors_1,float64
NumRotatableBonds_1,float64
HeavyAtomCount_1,float64
RingCount_1,float64
NumAromaticRings_1,float64
FractionCSP3_1,float64
MolMR_1,float64
MolWt_2,float64
ExactMolWt_2,float64
MolLogP_2,float64
TPSA_2,float64
NumHDonors_2,float64
NumHAcceptors_2,float64
NumRotatableBonds_2,float64
HeavyAtomCount_2,float64
RingCount_2,float64
NumAromaticRings_2,float64
FractionCSP3_2,float64
MolMR_2,float64
