Feature,Importance
COMBODRUGSEQ,0.19698513677745852
CONCINDEX1,0.05615745005039627
CONC1,0.04342318686490896
CONCINDEX2,0.030343129786232093
TPSA_2,0.02744796821826329
CONC2,0.02488359765752506
NSC1,0.024082519394970484
MolMR_1,0.024014086668149436
PANEL_Leukemia,0.02284333759504582
NSC2,0.02257435184599967
MolLogP_1,0.02232143602666308
CELLNBR,0.021839668383861262
SAMPLE2,0.021383852873630153
TPSA_1,0.01950001287382356
NumRotatableBonds_2,0.018999437019790472
FractionCSP3_2,0.018945376008748616
MolLogP_2,0.018631153531084438
MolMR_2,0.01762004486301949
NumHAcceptors_2,0.014591133501750482
SAMPLE1,0.014162625351993436
RingCount_1,0.013815936452850723
NumHDonors_2,0.01348981275016763
FractionCSP3_1,0.013028023516742277
PANELNBR,0.010948072086528897
MolWt_2,0.01080666639822291
MolWt_1,0.010699080034393403
ExactMolWt_1,0.010453237009953244
ExactMolWt_2,0.010286901767924737
NumHAcceptors_1,0.01020924686124839
CELLNAME_MOLT-4,0.010104564599200143
HeavyAtomCount_2,0.009908524120722097
RingCount_2,0.009737794029304143
NumRotatableBonds_1,0.009232557681060292
CELLNAME_SR,0.008898893584332868
CELLNAME_RPMI-8226,0.007875049203918617
HeavyAtomCount_1,0.007624321529223346
NumAromaticRings_2,0.0074888237439344665
NumHDonors_1,0.007307171440675247
CELLNAME_HL-60(TB),0.007139505635401174
CELLNAME_CCRF-CEM,0.005519564137204553
CELLNAME_SK-MEL-5,0.005463575323610728
CELLNAME_K-562,0.0049061174296761755
CELLNAME_NCI-H322M,0.004877196356765871
NumAromaticRings_1,0.004654061345528066
CELLNAME_KM12,0.004533564568140399
CELLNAME_RXF 393,0.004360269437095707
CELLNAME_OVCAR-3,0.004315835146786375
CELLNAME_SF-539,0.0043054147199939235
PANEL_Melanoma,0.003915408575988612
CELLNAME_MDA-MB-468,0.003624739778765881
CELLNAME_SK-MEL-2,0.0035656163725991184
CELLNAME_UO-31,0.0035573348455184123
CELLNAME_MDA-MB-435,0.003257192621999521
CELLNAME_HCC-2998,0.0032021052294136047
CELLNAME_NCI-H522,0.0030540676533926297
CELLNAME_CAKI-1,0.002827215913814881
CELLNAME_HS 578T,0.002764371689547664
PANEL_Renal Cancer,0.0026506567338129196
CELLNAME_COLO 205,0.0024984529010023326
CELLNAME_SK-MEL-28,0.0023996814090284624
CELLNAME_NCI/ADR-RES,0.002340190654885904
CELLNAME_M14,0.0023311565496603494
CELLNAME_NCI-H460,0.0023168373982257375
CELLNAME_HOP-62,0.002222070487549931
CELLNAME_DU-145,0.0022144357900158542
CELLNAME_U251,0.0021968932023868947
CELLNAME_MALME-3M,0.002192123985038885
PANEL_Colon Cancer,0.0021720756738790826
CELLNAME_NCI-H226,0.0021531751835675863
CELLNAME_BT-549,0.002090669801620955
CELLNAME_A498,0.00203789674469268
CELLNAME_T-47D,0.0020069941772018953
CELLNAME_HCT-15,0.0019925380596696836
CELLNAME_UACC-62,0.0019367208455449809
CELLNAME_UACC-257,0.0019154554480459859
CELLNAME_SN12C,0.0019069304318829689
PANEL_Ovarian Cancer,0.0018887697837786804
CELLNAME_LOX IMVI,0.0018873748015554583
CELLNAME_NCI-H23,0.0018416425063743486
CELLNAME_EKVX,0.0018259552264759922
CELLNAME_OVCAR-8,0.0017527781761543177
CELLNAME_OVCAR-4,0.001749670416319451
CELLNAME_IGROV1,0.0016274919556976703
CELLNAME_HT29,0.0015808990322103637
CELLNAME_HCT-116,0.0015664765301695294
CELLNAME_SF-295,0.001553067267008672
CELLNAME_SNB-75,0.0015446728344660882
CELLNAME_OVCAR-5,0.0014882793276679604
CELLNAME_SF-268,0.0014411763262434979
CELLNAME_MDA-MB-231/ATCC,0.0014166506233492533
CELLNAME_SW-620,0.001374763517846266
CELLNAME_SNB-19,0.0013740125254137023
PANEL_CNS Cancer,0.0011973694727749136
CELLNAME_MCF7,0.0011847755385796363
PANEL_Non-Small Cell Lung Cancer,0.0011722826815362343
CELLNAME_A549/ATCC,0.0011707293802250991
CELLNAME_ACHN,0.001055045959221643
CELLNAME_TK-10,0.0009882419559024878
CELLNAME_SK-OV-3,0.0009135451959175656
PANEL_Prostate Cancer,0.0008756220089755753
CELLNAME_PC-3,0.0007495433986099427
CELLNAME_HOP-92,0.0006968691948512751
